Date,Rating,Title,Reviews
review Today,10,Time change a day before!,We are scheduled to fly out tomorrow morning and literally received an email last night saying that our return flight time was changed to a very inconvenient time. Not even close to the original time that we selected!!! Tried calling but said I'd have to pay over $500 to get it changed to a different time (literally an hour difference). I'm beyond upset and just can not wrap my head around this! I'm going crazy and now super stressed. Thanks United....
review Yesterday,10,STAY OUT OF POLITICS,Perhaps fly a different that doesn’t politicize their views. Plenty of other airlines to choose from. Suggest they run their airline not their views.
review Yesterday,10,I think I’m getting scammed,I fly about 5 times a year and United and the sister company Copa are the only ones giving me problems. I booker this flight months ago and now that it’s getting closer my flight is getting changed on the daily to the point that I will need to cancel and pay way more. The same thing happened in December with Copa and i waited three months to get my 3k back. At least i got it. And Copa was a major headache to deal with. Hours and hours on the phone with them. Never again United or copa. I’ll pay more if needed
review Yesterday,10,Fascist Airways,Screamed at and threatened to be put on a no fly list for supporting the President of the United States of America.  Shameless anti Americans.
review Yesterday,10,You Get a NEW Beginning After COVID..WHY Choose UNITED,"I booked my ticket over 4 months ago (when people were still not even flying as heavy as today). I was running a convention for 10 days and with out any notice or correspondence, United changed my direct flight (mid afternoon) to a indirect flight. I paid for direct, I missed my last event from the convention.  Now that many people are getting back to flying, maybe time to look for a new loyalty program with a new airline...we have a new beginning!"
review Yesterday,30,No COVID precautions,"The flight was overbooked and overly crowded as a result. It felt like the cabin crew staff was not enough to handle the flight. May other passengers were violating COVID norms, for example, not wearing a mask properly and the cabin crew seemed too busy to handle that. Other than that, the flight was well on time, the food was average and the cabin staff was attentive to most needs."
Apr 4,10,Absolute terrible customer service,After having both legs of her flight change without notification United Airlines chose to do nothing for us complimentary. I ask the manager Eric at the counter if I was no value to them and that I should just shut up and get on the plane eric's response was that is exactly what you should do.
Apr 4,10,Horrendous,"Went from a 4 hour layover in San Francisco to a 6 hour, then a cross-country flight to Newark then a 1.5 hour layover before leaving for Cleveland. Never notified me of change in itinerary. 8 hour trip to Cleveland to 20 hours.  No excuse for this fiasco. Never again on United.  Horrendous customer service. Miss Continental Airlines and their customer service"
Apr 3,20,Downhill since COVID,"I've flown united once before internationally to Zurich from Washington and it was a pleasant experience. I have since signed up for their credit card and I booked 2 trips with them for this summer.    Trip 1: Baltimore to Knoxville  I was notified earlier this month that there was a reduction in service for the route and they rebooked my evening flight to a morning flight. Would not work due to work so I received a refund to my credit card. Happy for the refund but not happy by the lack of options to rebook.    Trip 2: Seattle to Washington (IAD)  I booked this trip the same day as my Knoxville trip above. However, I paid a hefty price to stay loyal (+$75 over competitors) and I just found out that the price dropped for the flight by ~$70. And no, I can't get a refund of the difference. Tried cancelling (since there are no ""fees"" for cancelling) and I couldn't rebook for the same flight at the discounted rate, only the original rate I booked. Crazy thing is I had the same flight up on my phone and it had the discounted rate at the same time. This is the most confusing experience ever and I am not happy with the lack of support by United Customer Service.    Overall: I will never book United for my domestic needs ever again! STAY AWAY! The constant schedule changes and tricky ticketing practices make it impossible during these crazy times. I'll use them for international after COVID, but my god domestic is horrible."
Apr 3,40,Excellent COVID flight to Jacksonville,Excellent first class flight to Jacksonville. Smooth ride with polite but minimal service (drinks offered). Everyone wore masks. Flight left 15 minutes late to accommodate passengers coming off a late arrival flight but we arrived ten minutes ahead of time!
